id;marca;modelo;ano_fabricacao;valor
1;Toyota;Corolla;2018;90000
2;Honda;Civic;2019;95000
3;Ford;Focus;2017;70000
4;Chevrolet;Onix;2020;65000
5;Volkswagen;Golf;2016;80000
6;Fiat;Argo;2021;55000
7;Renault;Sandero;2015;50000
8;Hyundai;HB20;2022;62000
9;Nissan;Versa;2019;72000
10;Peugeot;208;2018;68000
11;BMW;320i;2017;150000
12;Mercedes-Benz;C180;2016;180000
13;Audi;A3;2020;160000
14;Kia;Sportage;2019;105000
15;Jeep;Compass;2021;130000
16;Mitsubishi;Lancer;2015;75000
17;Subaru;Impreza;2018;98000
18;Citroën;C4;2017;66000
19;Volvo;XC60;2022;200000
20;Mazda;CX-5;2020;110000
